z_m,volume_m3,area_ha
29.686008664231803,2727120.2617057366,94.36703684444372
29.715995884420884,2755418.5259705274,94.36703684444372
29.745983104609962,2783716.7902353182,94.36703684444372
29.775970324799044,2812014.8365680166,94.36703684444372
29.805957544988125,2840313.5366969923,94.36703684444372
29.835944765177203,2868611.1471655057,94.36703684444372
29.865931985366284,2896909.193498204,94.36703684444372
29.895919205555366,2925208.1115592723,94.36703684444372
29.925906425744444,2953505.939959878,94.36703684444372
29.955893645933525,2981803.9862925764,94.36703684444372
29.985880866122606,3010103.1222857367,94.36703684444372
30.015868086311684,3038398.9892975115,94.36703684444372
30.045855306500766,3066697.03563021,94.36703684444372
30.075842526689847,3094994.8640308157,94.36703684444372
30.105829746878925,3123293.5641597915,94.36703684444372
30.135816967068006,3151590.7387641203,94.36703684444372
30.165804187257088,3179889.003028911,94.36703684444372
30.195791407446166,3208187.0493616094,94.36703684444372
30.225778627635247,3236485.967422677,94.36703684444372
30.25576584782433,3264783.142027006,94.36703684444372
30.285753068013406,3293082.495952259,94.36703684444372
30.315740288202488,3321380.1064207726,94.36703684444372
30.34572750839157,3349677.716889286,94.36703684444372
30.375714728580647,3377977.0708145387,94.36703684444372
30.405701948769728,3406273.8095546826,94.36703684444372
30.43568916895881,3434573.1634799354,94.36703684444372
30.465676389147887,3462870.773948449,94.36703684444372
30.49566360933697,3491167.948552778,94.36703684444372
30.52565082952605,3519465.776953384,94.36703684444372
30.555638049715128,3547764.259150267,94.36703684444372
30.58562526990421,3576061.2158225034,94.36703684444372
30.61561249009329,3604360.1338835713,94.36703684444372
30.64559971028237,3632657.5264199926,94.36703684444372
30.67558693047145,3660956.662413153,94.36703684444372
30.705574150660528,3689254.2728816667,94.36703684444372
30.73556137084961,3717553.1909427345,94.36703684444372
