year,month,monthly_total_mm,n_days_reported,days_in_month,complete,season,date
1989,2,1.8,28,28,True,dry,1989-02-01
1989,3,60.8,31,31,True,dry,1989-03-01
1989,4,46.8,30,30,True,dry,1989-04-01
1989,5,73.4,31,31,True,dry,1989-05-01
1989,6,159.9,30,30,True,wet,1989-06-01
1989,8,213.2,31,31,True,wet,1989-08-01
1989,9,183.5,30,30,True,wet,1989-09-01
1989,10,65.3,31,31,True,dry,1989-10-01
1989,11,43.0,30,30,True,dry,1989-11-01
1989,12,176.9,31,31,True,dry,1989-12-01
1990,1,37.8,31,31,True,dry,1990-01-01
1990,2,138.4,28,28,True,dry,1990-02-01
1990,3,48.5,31,31,True,dry,1990-03-01
1990,4,46.0,30,30,True,dry,1990-04-01
1990,5,23.1,29,31,True,dry,1990-05-01
1990,6,134.5,30,30,True,wet,1990-06-01
1990,8,194.4,31,31,True,wet,1990-08-01
1990,9,163.7,30,30,True,wet,1990-09-01
1990,10,114.3,31,31,True,dry,1990-10-01
1990,11,18.9,30,30,True,dry,1990-11-01
1990,12,20.6,31,31,True,dry,1990-12-01
1991,1,47.6,31,31,True,dry,1991-01-01
1991,2,10.4,28,28,True,dry,1991-02-01
1991,3,155.5,31,31,True,dry,1991-03-01
1991,4,129.4,30,30,True,dry,1991-04-01
1991,5,218.0,31,31,True,dry,1991-05-01
1991,6,144.5,30,30,True,wet,1991-06-01
1991,7,257.3,31,31,True,wet,1991-07-01
1991,8,155.4,31,31,True,wet,1991-08-01
1991,9,124.1,30,30,True,wet,1991-09-01
1991,10,69.1,31,31,True,dry,1991-10-01
1991,11,6.3999999999999995,30,30,True,dry,1991-11-01
1991,12,9.5,31,31,True,dry,1991-12-01
1992,1,34.7,31,31,True,dry,1992-01-01
1992,2,73.1,29,29,True,dry,1992-02-01
1992,3,51.1,31,31,True,dry,1992-03-01
1992,4,143.5,30,30,True,dry,1992-04-01
1992,5,83.8,31,31,True,dry,1992-05-01
1992,6,201.2,30,30,True,wet,1992-06-01
1992,7,69.9,31,31,True,wet,1992-07-01
1992,8,272.5,31,31,True,wet,1992-08-01
1992,9,251.7,30,30,True,wet,1992-09-01
1992,10,97.8,31,31,True,dry,1992-10-01
1992,11,81.30000000000001,30,30,True,dry,1992-11-01
1992,12,13.5,31,31,True,dry,1992-12-01
1993,1,92.2,31,31,True,dry,1993-01-01
1993,2,46.0,28,28,True,dry,1993-02-01
1993,3,162.9,31,31,True,dry,1993-03-01
1993,4,78.3,30,30,True,dry,1993-04-01
1993,5,34.6,31,31,True,dry,1993-05-01
1993,6,143.7,30,30,True,wet,1993-06-01
1993,7,69.7,31,31,True,wet,1993-07-01
1993,8,31.0,31,31,True,wet,1993-08-01
1993,9,125.5,30,30,True,wet,1993-09-01
1993,10,147.2,31,31,True,dry,1993-10-01
1993,11,6.8,30,30,True,dry,1993-11-01
1993,12,24.0,31,31,True,dry,1993-12-01
1994,1,112.3,31,31,True,dry,1994-01-01
1994,2,96.2,28,28,True,dry,1994-02-01
1994,3,34.1,31,31,True,dry,1994-03-01
1994,4,151.7,30,30,True,dry,1994-04-01
1994,5,128.3,31,31,True,dry,1994-05-01
1994,6,291.8,30,30,True,wet,1994-06-01
1994,7,174.0,31,31,True,wet,1994-07-01
1994,8,222.79999999999998,31,31,True,wet,1994-08-01
1994,9,286.90000000000003,30,30,True,wet,1994-09-01
1994,10,93.6,31,31,True,dry,1994-10-01
1994,11,184.2,30,30,True,dry,1994-11-01
1994,12,79.4,31,31,True,dry,1994-12-01
1995,1,45.099999999999994,31,31,True,dry,1995-01-01
1995,2,44.6,28,28,True,dry,1995-02-01
1995,3,37.1,31,31,True,dry,1995-03-01
1995,5,25.2,31,31,True,dry,1995-05-01
1995,6,165.7,30,30,True,wet,1995-06-01
1995,7,245.6,31,31,True,wet,1995-07-01
1995,8,251.9,31,31,True,wet,1995-08-01
1995,9,202.0,30,30,True,wet,1995-09-01
1995,10,125.39999999999999,31,31,True,dry,1995-10-01
1995,11,24.3,30,30,True,dry,1995-11-01
1995,12,19.0,31,31,True,dry,1995-12-01
1996,1,177.1,31,31,True,dry,1996-01-01
1996,2,75.5,29,29,True,dry,1996-02-01
1996,3,250.3,31,31,True,dry,1996-03-01
1996,4,46.4,30,30,True,dry,1996-04-01
1996,5,73.9,31,31,True,dry,1996-05-01
1996,6,233.6,30,30,True,wet,1996-06-01
1996,7,70.5,31,31,True,wet,1996-07-01
1996,8,187.3,31,31,True,wet,1996-08-01
1996,9,154.8,30,30,True,wet,1996-09-01
1996,10,63.0,31,31,True,dry,1996-10-01
1996,11,15.799999999999999,30,30,True,dry,1996-11-01
1996,12,69.9,31,31,True,dry,1996-12-01
1997,1,61.5,31,31,True,dry,1997-01-01
1997,2,67.30000000000001,28,28,True,dry,1997-02-01
1997,3,45.0,31,31,True,dry,1997-03-01
1997,4,112.1,30,30,True,dry,1997-04-01
1997,5,52.1,31,31,True,dry,1997-05-01
1997,6,145.3,30,30,True,wet,1997-06-01
1997,7,249.29999999999998,31,31,True,wet,1997-07-01
1997,8,273.3,31,31,True,wet,1997-08-01
1997,9,65.6,30,30,True,wet,1997-09-01
1997,10,136.9,31,31,True,dry,1997-10-01
1997,11,151.4,30,30,True,dry,1997-11-01
1997,12,254.10000000000002,31,31,True,dry,1997-12-01
1998,1,48.6,31,31,True,dry,1998-01-01
1998,2,199.2,28,28,True,dry,1998-02-01
1998,3,155.7,31,31,True,dry,1998-03-01
1998,4,27.700000000000003,30,30,True,dry,1998-04-01
1998,5,33.1,31,31,True,dry,1998-05-01
1998,6,55.400000000000006,30,30,True,wet,1998-06-01
1998,7,152.3,31,31,True,wet,1998-07-01
1998,8,129.1,31,31,True,wet,1998-08-01
