sorting_id,contact,site_name,country,state_region,latitude,longitude,sampling_date,protocol,lfmc_value,species_collected,species_functional_type,landcover,elevation,random_split,spatial_split
54732,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-07-29,23,102.0,Pinus resinosa,Tree,Tree cover,205,train,test
54733,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-08-17,23,104.0,Pinus banksiana,Tree,Tree cover,205,train,test
54734,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-08-17,23,104.0,Pinus resinosa,Tree,Tree cover,205,train,test
54735,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-09-13,23,103.0,Pinus banksiana,Tree,Tree cover,205,train,test
54736,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-09-13,23,108.0,Pinus resinosa,Tree,Tree cover,205,train,test
54737,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-05-15,23,108.0,Pinus banksiana,Tree,Tree cover,205,train,test
54738,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-05-15,23,103.0,Pinus resinosa,Tree,Tree cover,205,train,test
54739,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-06-01,23,99.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54740,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-06-01,23,102.0,Pinus resinosa,Tree,Tree cover,205,validation,test
54741,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-07-14,23,112.0,Pinus banksiana,Tree,Tree cover,205,test,test
54742,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-07-14,23,97.0,Pinus resinosa,Tree,Tree cover,205,test,test
54743,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-09-01,23,118.0,Pinus banksiana,Tree,Tree cover,205,train,test
54744,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2022-09-01,23,117.0,Pinus resinosa,Tree,Tree cover,205,validation,test
54788,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-05-23,23,107.0,Pinus ponderosa,Tree,Tree cover,1426,validation,validation
54789,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-05-23,23,98.0,Pseudotsuga menziesii,Tree,Tree cover,1426,validation,validation
54790,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-08,23,252.0,Artemisia tripartita,Shrub,Tree cover,1426,train,validation
54791,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-08,23,166.0,Carex geyeri,Grass,Tree cover,1426,train,validation
54792,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-08,23,115.0,Pinus ponderosa,Tree,Tree cover,1426,train,validation
