date,cloud_pct_scl,cloud_pct_s2cloudless,cloud_pct_combined,cloud_pixels,total_pixels,cloud_mask_path
20220508,52.77,13.95,51.0,25246,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220508.tif
20220607,0.03,0.0,0.02,12,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220607.tif
20220722,1.96,0.0,1.9,940,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220722.tif
20220727,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220727.tif
20220801,64.77,20.64,62.61,30997,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220801.tif
20220930,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220930.tif
20221005,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20221005.tif
20221025,15.15,0.0,14.64,7248,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20221025.tif
20221129,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20221129.tif
20221204,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20221204.tif
20221209,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20221209.tif
20221219,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20221219.tif
20221229,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20221229.tif
20230108,64.39,4.74,62.24,30815,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20230108.tif
20230207,95.56,0.0,92.36,45724,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20230207.tif
20230217,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20230217.tif
20230222,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20230222.tif
20230309,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20230309.tif
20230314,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20230314.tif
20230324,7.74,0.0,7.48,3704,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20230324.tif
